posting_date,role_family,postings,salary_postings,median_salary_usd,remote_tagged_postings
2024-03-18,Data Analyst,0,0,,0
2024-03-18,Data Engineer,0,0,,0
2024-03-18,Data Scientist,0,0,,0
2024-03-18,Product Analyst,0,0,,0
2024-03-19,Analytics Engineer,0,0,,0
2024-03-19,BI Analyst,0,0,,0
2024-03-19,Business Analyst,0,0,,0
2024-03-19,Data Analyst,0,0,,0
2024-03-19,Data Engineer,0,0,,0
2024-03-19,Data Scientist,0,0,,0
2024-03-19,Product Analyst,0,0,,0
2024-03-20,Analytics Engineer,0,0,,0
2024-03-20,BI Analyst,0,0,,0
2024-03-20,Business Analyst,0,0,,0
2024-03-20,Data Analyst,0,0,,0
2024-03-20,Data Engineer,0,0,,0
2024-03-20,Data Scientist,0,0,,0
2024-03-20,Product Analyst,0,0,,0
2024-03-21,Analytics Engineer,0,0,,0
2024-03-21,BI Analyst,0,0,,0
2024-03-21,Business Analyst,0,0,,0
2024-03-21,Data Analyst,0,0,,0
2024-03-21,Data Engineer,1,0,,0
2024-03-21,Data Scientist,2,0,,0
2024-03-21,Product Analyst,0,0,,0
2024-03-22,Analytics Engineer,0,0,,0
2024-03-22,BI Analyst,0,0,,0
2024-03-22,Business Analyst,0,0,,0
2024-03-22,Data Analyst,0,0,,0
2024-03-22,Data Engineer,0,0,,0
2024-03-22,Data Scientist,0,0,,0
2024-03-22,Product Analyst,0,0,,0
2024-03-23,Analytics Engineer,1,0,,0
2024-03-23,BI Analyst,2,1,121125.0,0
2024-03-23,Business Analyst,1,0,,0
2024-03-23,Data Analyst,3,1,222650.0,1
2024-03-23,Data Engineer,1,0,,0
2024-03-23,Data Scientist,0,0,,0
2024-03-23,Product Analyst,0,0,,0
2024-03-24,Analytics Engineer,0,0,,0
2024-03-24,BI Analyst,1,0,,0
2024-03-24,Business Analyst,2,0,,0
2024-03-24,Data Analyst,0,0,,0
2024-03-24,Data Engineer,0,0,,0
2024-03-24,Data Scientist,2,1,230000.0,1
2024-03-24,Product Analyst,1,1,172928.0,0
2024-03-25,Analytics Engineer,0,0,,0
2024-03-25,BI Analyst,2,0,,0
2024-03-25,Business Analyst,2,1,101300.0,0
2024-03-25,Data Analyst,2,1,135000.0,1
2024-03-25,Data Engineer,0,0,,0
2024-03-25,Data Scientist,0,0,,0
2024-03-25,Product Analyst,0,0,,0
2024-03-26,Analytics Engineer,0,0,,0
2024-03-26,BI Analyst,0,0,,0
2024-03-26,Business Analyst,0,0,,0
2024-03-26,Data Analyst,0,0,,0
2024-03-26,Data Engineer,0,0,,0
2024-03-26,Data Scientist,0,0,,0
2024-03-26,Product Analyst,0,0,,0
2024-03-27,Analytics Engineer,0,0,,0
2024-03-27,BI Analyst,0,0,,0
2024-03-27,Business Analyst,0,0,,0
2024-03-27,Data Analyst,0,0,,0
2024-03-27,Data Engineer,0,0,,0
2024-03-27,Data Scientist,0,0,,0
2024-03-27,Product Analyst,0,0,,0
2024-03-28,Analytics Engineer,0,0,,0
2024-03-28,BI Analyst,1,1,115700.0,0
2024-03-28,Business Analyst,0,0,,0
2024-03-28,Data Analyst,0,0,,0
2024-03-28,Data Engineer,0,0,,0
2024-03-28,Data Scientist,0,0,,0
2024-03-28,Product Analyst,0,0,,0
2024-03-29,Analytics Engineer,0,0,,0
2024-03-29,BI Analyst,0,0,,0
2024-03-29,Business Analyst,0,0,,0
2024-03-29,Data Analyst,0,0,,0
2024-03-29,Data Engineer,0,0,,0
2024-03-29,Data Scientist,0,0,,0
2024-03-29,Product Analyst,0,0,,0
2024-03-30,Analytics Engineer,0,0,,0
2024-03-30,BI Analyst,1,1,100000.0,0
2024-03-30,Business Analyst,0,0,,0
2024-03-30,Data Analyst,0,0,,0
2024-03-30,Data Engineer,0,0,,0
2024-03-30,Data Scientist,0,0,,0
2024-03-30,Product Analyst,0,0,,0
2024-03-31,Analytics Engineer,0,0,,0
2024-03-31,BI Analyst,0,0,,0
2024-03-31,Business Analyst,1,0,,0
2024-03-31,Data Analyst,0,0,,0
2024-03-31,Data Engineer,0,0,,0
2024-03-31,Data Scientist,0,0,,0
2024-03-31,Product Analyst,0,0,,0
2024-04-01,Analytics Engineer,0,0,,0
2024-04-01,BI Analyst,0,0,,0
2024-04-01,Business Analyst,0,0,,0
2024-04-01,Data Analyst,0,0,,0
2024-04-01,Data Engineer,1,1,200250.0,0
2024-04-01,Data Scientist,2,2,162200.0,0
2024-04-01,Product Analyst,0,0,,0
2024-04-02,Analytics Engineer,0,0,,0
2024-04-02,BI Analyst,0,0,,0
2024-04-02,Business Analyst,0,0,,0
2024-04-02,Data Analyst,0,0,,0
2024-04-02,Data Engineer,1,1,182100.0,0
2024-04-02,Data Scientist,0,0,,0
2024-04-02,Product Analyst,0,0,,0
2024-04-03,Analytics Engineer,0,0,,0
2024-04-03,BI Analyst,0,0,,0
2024-04-03,Business Analyst,1,0,,0
2024-04-03,Data Analyst,1,0,,0
2024-04-03,Data Engineer,0,0,,0
2024-04-03,Data Scientist,2,1,162200.0,0
2024-04-03,Product Analyst,0,0,,0
2024-04-04,Analytics Engineer,0,0,,0
2024-04-04,BI Analyst,0,0,,0
2024-04-04,Business Analyst,3,0,,0
2024-04-04,Data Analyst,3,1,100000.0,1
2024-04-04,Data Engineer,2,1,155650.0,1
2024-04-04,Data Scientist,6,2,191000.0,1
2024-04-04,Product Analyst,0,0,,0
2024-04-05,Analytics Engineer,4,2,182675.0,4
2024-04-05,BI Analyst,19,10,120640.0,5
2024-04-05,Business Analyst,31,10,93383.0,1
2024-04-05,Data Analyst,17,5,83200.0,4
2024-04-05,Data Engineer,27,7,134919.0,8
2024-04-05,Data Scientist,14,7,166400.0,7
2024-04-05,Product Analyst,2,0,,1
2024-04-06,Analytics Engineer,0,0,,0
2024-04-06,BI Analyst,2,0,,0
2024-04-06,Business Analyst,8,3,107500.0,2
2024-04-06,Data Analyst,9,0,,2
2024-04-06,Data Engineer,3,1,100000.0,0
2024-04-06,Data Scientist,2,0,,0
2024-04-06,Product Analyst,0,0,,0
2024-04-07,Analytics Engineer,1,1,116100.0,0
2024-04-07,BI Analyst,2,0,,0
2024-04-07,Business Analyst,3,1,140400.0,1
2024-04-07,Data Analyst,4,2,100620.0,0
2024-04-07,Data Engineer,2,0,,0
2024-04-07,Data Scientist,2,1,247750.0,0
2024-04-07,Product Analyst,0,0,,0
2024-04-08,Analytics Engineer,1,1,87500.0,0
2024-04-08,BI Analyst,7,2,96125.0,2
2024-04-08,Business Analyst,6,0,,3
2024-04-08,Data Analyst,9,6,110980.0,5
2024-04-08,Data Engineer,11,8,134657.0,6
2024-04-08,Data Scientist,11,5,162000.0,4
2024-04-08,Product Analyst,0,0,,0
2024-04-09,Analytics Engineer,1,0,,1
2024-04-09,BI Analyst,9,5,135000.0,2
2024-04-09,Business Analyst,24,10,104710.0,5
2024-04-09,Data Analyst,22,3,78000.0,12
2024-04-09,Data Engineer,16,5,160000.0,6
2024-04-09,Data Scientist,10,3,220000.0,4
2024-04-09,Product Analyst,2,0,,2
2024-04-10,Analytics Engineer,2,2,295000.0,0
2024-04-10,BI Analyst,4,1,89000.0,1
2024-04-10,Business Analyst,4,2,138925.0,0
2024-04-10,Data Analyst,6,4,88680.0,1
2024-04-10,Data Engineer,3,2,145615.0,1
2024-04-10,Data Scientist,4,3,196000.0,0
2024-04-10,Product Analyst,1,1,54725.0,0
2024-04-11,Analytics Engineer,3,3,150800.0,2
2024-04-11,BI Analyst,12,6,128550.0,3
2024-04-11,Business Analyst,59,17,119600.0,14
2024-04-11,Data Analyst,36,13,124800.0,8
2024-04-11,Data Engineer,57,14,135100.0,12
2024-04-11,Data Scientist,47,16,223773.0,14
2024-04-11,Product Analyst,3,1,83000.0,1
2024-04-12,Analytics Engineer,0,0,,0
2024-04-12,BI Analyst,0,0,,0
2024-04-12,Business Analyst,0,0,,0
2024-04-12,Data Analyst,1,0,,0
2024-04-12,Data Engineer,0,0,,0
2024-04-12,Data Scientist,1,0,,1
2024-04-12,Product Analyst,0,0,,0
2024-04-13,Analytics Engineer,0,0,,0
2024-04-13,BI Analyst,0,0,,0
2024-04-13,Business Analyst,0,0,,0
2024-04-13,Data Analyst,0,0,,0
2024-04-13,Data Engineer,0,0,,0
2024-04-13,Data Scientist,1,0,,1
2024-04-13,Product Analyst,0,0,,0
2024-04-14,Analytics Engineer,0,0,,0
2024-04-14,BI Analyst,1,0,,0
2024-04-14,Business Analyst,0,0,,0
2024-04-14,Data Analyst,8,1,106226.0,1
2024-04-14,Data Engineer,0,0,,0
2024-04-14,Data Scientist,2,0,,1
2024-04-14,Product Analyst,0,0,,0
2024-04-15,Analytics Engineer,1,0,,1
2024-04-15,BI Analyst,7,4,119600.0,1
2024-04-15,Business Analyst,37,10,121250.0,6
2024-04-15,Data Analyst,34,11,103500.0,10
2024-04-15,Data Engineer,24,8,136250.0,7
2024-04-15,Data Scientist,9,3,150000.0,4
2024-04-15,Product Analyst,2,1,64480.0,0
2024-04-16,Analytics Engineer,0,0,,0
2024-04-16,BI Analyst,14,6,90250.0,2
2024-04-16,Business Analyst,37,7,127500.0,10
2024-04-16,Data Analyst,29,10,82513.0,7
2024-04-16,Data Engineer,28,9,138500.0,8
2024-04-16,Data Scientist,17,8,165500.0,2
2024-04-16,Product Analyst,0,0,,0
2024-04-17,Analytics Engineer,0,0,,0
2024-04-17,BI Analyst,33,9,137000.0,9
2024-04-17,Business Analyst,60,17,110000.0,13
2024-04-17,Data Analyst,40,14,119250.0,10
2024-04-17,Data Engineer,51,11,150000.0,12
2024-04-17,Data Scientist,43,14,158525.0,15
2024-04-17,Product Analyst,4,1,65000.0,2
2024-04-18,Analytics Engineer,7,4,169550.0,1
2024-04-18,BI Analyst,58,18,111750.0,16
2024-04-18,Business Analyst,166,52,87360.0,41
2024-04-18,Data Analyst,142,38,112500.0,72
2024-04-18,Data Engineer,114,44,135931.0,36
2024-04-18,Data Scientist,92,34,152550.0,34
2024-04-18,Product Analyst,8,3,85000.0,0
2024-04-19,Analytics Engineer,2,0,,1
2024-04-19,BI Analyst,38,14,101250.0,18
2024-04-19,Business Analyst,88,10,128750.0,23
2024-04-19,Data Analyst,63,31,88400.0,14
2024-04-19,Data Engineer,68,15,145600.0,25
2024-04-19,Data Scientist,67,21,174500.0,19
2024-04-19,Product Analyst,3,1,104000.0,1
