industry_id,industry_name,postings,market_share_pct,salary_postings,median_salary_usd,remote_tagged_postings
3130,Data Security Software Products,23,0.02,12,63700.0,16
807,Primary Metal Manufacturing,23,0.02,12,81600.0,0
3191,Consumer Electronics,22,0.02,1,85000.0,1
114,Nanotechnology Research,22,0.02,9,95680.0,1
73,Administration of Justice,21,0.02,17,121081.0,1
1319,"Retail Appliances, Electrical, and Electronic Equipment",21,0.02,5,56160.0,7
2369,Housing and Community Development,20,0.02,12,88750.0,0
111,Retail Art Supplies,20,0.02,7,38480.0,0
1931,Telephone Call Centers,20,0.02,9,39520.0,10
3086,Utilities Administration,20,0.02,11,99580.0,4
598,Apparel Manufacturing,19,0.02,8,83750.0,3
66,Fisheries,19,0.02,5,47476.0,0
140,Graphic Design,19,0.02,9,101500.0,5
1855,IT System Design Services,19,0.02,5,161200.0,7
1309,Retail Furniture and Home Furnishings,19,0.02,4,86250.0,3
134,Wholesale Import and Export,19,0.02,5,75000.0,2
1090,Office Furniture and Fixtures Manufacturing,18,0.01,5,90000.0,8
2374,Community Development and Urban Planning,17,0.01,10,110912.0,1
2179,Golf Courses and Country Clubs,17,0.01,6,72500.0,0
1720,Investment Advice,17,0.01,10,95000.0,2
3212,Luxury Goods & Jewelry,16,0.01,6,54080.0,2
743,Plastics and Rubber Product Manufacturing,16,0.01,4,86250.0,4
130,Think Tanks,16,0.01,6,92925.0,4
3105,IT System Training and Support,15,0.01,6,54600.0,4
81,Newspaper Publishing,15,0.01,6,53750.0,3
3233,Research,15,0.01,6,122691.0,2
1267,Wholesale Alcoholic Beverages,15,0.01,4,72870.0,3
3070,Fire Protection,14,0.01,5,72800.0,1
883,Metal Treatments,14,0.01,6,50960.0,0
928,Metalworking Machinery Manufacturing,14,0.01,10,87500.0,0
3247,Robot Manufacturing,14,0.01,3,83200.0,0
3085,Transportation Programs,14,0.01,8,114700.0,3
973,Audio and Video Equipment Manufacturing,13,0.01,8,87500.0,4
3226,Aviation & Aerospace,13,0.01,3,115000.0,1
3208,E-learning,13,0.01,2,197600.0,8
3104,IT System Installation and Disposal,13,0.01,7,60000.0,1
852,Architectural and Structural Metal Manufacturing,12,0.01,3,58240.0,2
615,Fashion Accessories Manufacturing,12,0.01,7,72800.0,1
1495,Ground Passenger Transportation,12,0.01,10,114174.0,0
3249,Surveying and Mapping Services,12,0.01,6,103750.0,0
1171,"Wholesale Appliances, Electrical, and Electronics",12,0.01,5,80000.0,1
1178,"Wholesale Hardware, Plumbing, Heating Equipment",12,0.01,5,75000.0,0
388,Environmental Quality Programs,11,0.01,7,102500.0,1
3216,Industrial Automation,11,0.01,2,122200.0,3
1445,Online and Mail Order Retail,11,0.01,3,100880.0,4
2054,"Physical, Occupational and Speech Therapists",11,0.01,3,67500.0,1
1512,School and Employee Bus Services,11,0.01,4,36041.0,0
387,Solar Electric Power Generation,11,0.01,4,116600.0,4
784,Wood Product Manufacturing,11,0.01,4,67040.0,0
2375,Economic Programs,10,0.01,5,95305.0,0
201,"Farming, Ranching, Forestry",10,0.01,8,90928.0,1
2934,Landscaping Services,10,0.01,6,82500.0,0
3194,"Leisure, Travel & Tourism",10,0.01,3,57720.0,2
983,Measuring and Control Instrument Manufacturing,10,0.01,6,82970.0,4
397,Natural Gas Distribution,10,0.01,6,144404.0,3
1757,Real Estate and Equipment Rental Services,10,0.01,5,55765.0,0
2142,Sports Teams and Clubs,10,0.01,6,70150.0,3
1137,Wholesale Furniture and Home Furnishings,10,0.01,4,80000.0,0
3246,Accessible Architecture and Design,9,0.01,3,105000.0,0
120,Alternative Dispute Resolution,9,0.01,7,220000.0,1
3253,Alternative Fuel Vehicle Manufacturing,9,0.01,7,81120.0,1
3252,Climate Data and Analytics,9,0.01,4,54938.0,3
3251,Climate Technology Product Manufacturing,9,0.01,5,98000.0,2
871,Construction Hardware Manufacturing,9,0.01,8,97200.0,3
3189,Cosmetics,9,0.01,3,53040.0,1
2045,Dentists,9,0.01,3,49920.0,0
3227,Design,9,0.01,2,117900.0,1
998,Electric Lighting Equipment Manufacturing,9,0.01,5,60000.0,0
1770,Real Estate Agents and Brokers,9,0.01,1,150000.0,1
763,Rubber Products Manufacturing,9,0.01,1,143000.0,0
1128,Wholesale Motor Vehicles and Parts,9,0.01,1,48880.0,0
3220,Wine & Spirits,9,0.01,5,85000.0,3
1738,"Claims Adjusting, Actuarial Services",8,0.01,2,59760.0,1
3219,Commercial Real Estate,8,0.01,2,58750.0,1
2115,Community Services,8,0.01,4,87933.0,0
3234,Computer Networking,8,0.01,1,104500.0,5
1923,Executive Search Services,8,0.01,7,114400.0,1
3193,Furniture,8,0.01,3,60163.0,1
3081,Housing Programs,8,0.01,3,55000.0,0
679,Oil and Coal Product Manufacturing,8,0.01,4,92500.0,0
408,Residential Building Construction,8,0.01,3,137500.0,0
727,Soap and Cleaning Product Manufacturing,8,0.01,3,101000.0,1
1157,Wholesale Computer Equipment,8,0.01,1,55000.0,5
1166,Wholesale Metals and Minerals,8,0.01,4,86250.0,0
481,Animal Feed Manufacturing,7,0.01,1,36400.0,1
3128,Business Intelligence Platforms,7,0.01,2,90500.0,5
3235,Computer Hardware,7,0.01,1,120000.0,0
3244,Digital Accessibility Services,7,0.01,4,97760.0,2
298,Forestry and Logging,7,0.01,6,75556.0,1
85,Libraries,7,0.01,3,79018.0,0
1750,Trusts and Estates,7,0.01,4,150000.0,0
1208,Wholesale Luxury Goods and Jewelry,7,0.01,5,62400.0,0
1786,Consumer Goods Rental,6,0.0,0,,1
1696,Loan Brokers,6,0.0,4,147800.0,4
521,Meat Products Manufacturing,6,0.0,5,85500.0,1
1424,Retail Office Supplies and Gifts,6,0.0,3,99840.0,1
2018,Technical and Vocational Training,6,0.0,4,96050.0,2
2226,Vehicle Repair and Maintenance,6,0.0,2,46800.0,1
1262,Wholesale Petroleum and Petroleum Products,6,0.0,1,105000.0,0
2190,Accommodation and Food Services,5,0.0,1,50000.0,0
3134,Blockchain Services,5,0.0,2,168750.0,4
1798,Commercial and Industrial Equipment Rental,5,0.0,0,,0
964,Communications Equipment Manufacturing,5,0.0,2,87530.0,3
3196,Fine Art,5,0.0,2,56500.0,1
622,Footwear Manufacturing,5,0.0,0,,1
1742,Funds and Trusts,5,0.0,2,126922.0,0
779,Glass Product Manufacturing,5,0.0,3,110000.0,2
72,Legislative Offices,5,0.0,4,47670.0,0
3223,Packaging & Containers,5,0.0,2,39000.0,0
2259,Personal Care Services,5,0.0,4,44720.0,0
1520,Pipeline Transportation,5,0.0,4,100900.0,0
3203,Program Development,5,0.0,1,104000.0,2
1409,Retail Books and Printed News,5,0.0,2,66250.0,3
873,Spring and Wire Product Manufacturing,5,0.0,2,55900.0,0
495,Sugar and Confectionery Product Manufacturing,5,0.0,1,65000.0,1
3229,Warehousing,5,0.0,1,75000.0,0
398,"Water, Waste, Steam, and Air Conditioning Services",5,0.0,3,100000.0,0
1257,Wholesale Chemical and Allied Products,5,0.0,3,105000.0,0
1206,Wholesale Recyclable Materials,5,0.0,3,63440.0,0
127,Animation and Post-production,4,0.0,1,257500.0,0
2212,Caterers,4,0.0,3,57500.0,0
3068,Correctional Institutions,4,0.0,3,98800.0,0
1965,Janitorial Services,4,0.0,1,36400.0,0
2069,Medical and Diagnostic Laboratories,4,0.0,1,125000.0,0
1431,Retail Recyclable Materials & Used Merchandise,4,0.0,2,92500.0,0
528,Seafood Product Manufacturing,4,0.0,2,127750.0,0
3188,Veterinary,4,0.0,2,39370.0,0
1222,Wholesale Apparel and Sewing Supplies,4,0.0,3,85000.0,0
1250,Wholesale Raw Farm Products,4,0.0,2,115938.0,1
2500,Wineries,4,0.0,1,130000.0,1
529,Baked Goods Manufacturing,3,0.0,2,64600.0,0
2197,"Bed-and-Breakfasts, Hostels, Homestays",3,0.0,0,,0
861,"Boilers, Tanks, and Shipping Container Manufacturing",3,0.0,2,117500.0,0
2368,Conservation Programs,3,0.0,2,127500.0,2
3101,Desktop Computing Software Products,3,0.0,1,57500.0,2
150,Horticulture,3,0.0,0,,0
2318,Household Services,3,0.0,1,77500.0,0
994,Magnetic and Optical Media Manufacturing,3,0.0,1,130000.0,1
2159,Museums,3,0.0,3,70000.0,0
3239,Paper & Forest Products,3,0.0,1,38480.0,0
2130,Performing Arts and Spectator Sports,3,0.0,3,70000.0,2
2258,Personal and Laundry Services,3,0.0,2,81250.0,0
1423,Retail Florists,3,0.0,2,48880.0,0
1713,Securities and Commodity Exchanges,3,0.0,3,175000.0,1
876,Turned Products and Fastener Manufacturing,3,0.0,0,,1
419,Utility System Construction,3,0.0,1,57200.0,0
1187,Wholesale Machinery,3,0.0,3,140000.0,0
2489,Wind Electric Power Generation,3,0.0,3,135000.0,0
2167,Amusement Parks and Arcades,2,0.0,2,113883.0,0
1673,Credit Intermediation,2,0.0,0,,0
1095,Mattress and Blinds Manufacturing,2,0.0,1,82500.0,0
887,"Metal Valve, Ball, and Roller Manufacturing",2,0.0,0,,0
413,Nonresidential Building Construction,2,0.0,0,,0
3214,Online Media,2,0.0,0,,0
1745,Pension Funds,2,0.0,0,,0
1407,Retail Musical Instruments,2,0.0,0,,1
2133,Theater Companies,2,0.0,2,70000.0,0
1029,Transportation Equipment Manufacturing,2,0.0,1,179680.0,1
1497,Urban Transit Services,2,0.0,2,81033.0,0
1221,Wholesale Drugs and Sundries,2,0.0,0,,1
1230,Wholesale Footwear,2,0.0,1,82500.0,1
1212,Wholesale Paper Products,2,0.0,0,,1
1153,Wholesale Photography Equipment and Supplies,2,0.0,2,94130.0,0
799,Abrasives and Nonmetallic Minerals Manufacturing,1,0.0,0,,0
453,Building Equipment Contractors,1,0.0,0,,0
3199,Dairy,1,0.0,0,,0
1080,Household and Institutional Furniture Manufacturing,1,0.0,1,45760.0,0
3236,Maritime,1,0.0,0,,0
2360,Public Assistance Programs,1,0.0,0,,0
1986,Waste Treatment and Disposal,1,0.0,0,,1
2163,Zoos and Botanical Gardens,1,0.0,0,,0
