posting_date,postings,companies,salary_postings,salary_coverage_pct,median_salary_usd,remote_tagged_postings,remote_tagged_pct,sponsored_postings,postings_7d_average
2024-02-26,0,0,0,0.0,,0,0.0,0,0.14
2024-02-27,0,0,0,0.0,,0,0.0,0,0.0
2024-02-28,0,0,0,0.0,,0,0.0,0,0.0
2024-02-29,1,1,1,100.0,60000.0,0,0.0,0,0.14
2024-03-01,1,1,0,0.0,,0,0.0,0,0.29
2024-03-02,0,0,0,0.0,,0,0.0,0,0.29
2024-03-03,0,0,0,0.0,,0,0.0,0,0.29
2024-03-04,0,0,0,0.0,,0,0.0,0,0.29
2024-03-05,2,2,0,0.0,,0,0.0,0,0.57
2024-03-06,3,2,1,33.33,216320.0,1,33.33,0,1.0
2024-03-07,0,0,0,0.0,,0,0.0,0,0.86
2024-03-08,1,0,1,100.0,43160.0,0,0.0,0,0.86
2024-03-09,0,0,0,0.0,,0,0.0,0,0.86
2024-03-10,0,0,0,0.0,,0,0.0,0,0.86
2024-03-11,143,69,51,35.66,145600.0,21,14.69,0,21.29
2024-03-12,5,5,1,20.0,154700.0,1,20.0,0,21.71
2024-03-13,6,4,2,33.33,190650.0,0,0.0,0,22.14
2024-03-14,89,47,41,46.07,122500.0,9,10.11,0,34.86
2024-03-15,66,31,13,19.7,138600.0,2,3.03,0,44.14
2024-03-16,0,0,0,0.0,,0,0.0,0,44.14
2024-03-17,189,112,55,29.1,85000.0,33,17.46,0,71.14
2024-03-18,7,7,5,71.43,75650.0,0,0.0,0,51.71
2024-03-19,14,14,1,7.14,33093.0,1,7.14,0,53.0
2024-03-20,10,8,4,40.0,121350.0,0,0.0,0,53.57
2024-03-21,74,53,17,22.97,98772.0,7,9.46,0,51.43
2024-03-22,31,24,7,22.58,77678.0,8,25.81,0,46.43
2024-03-23,295,114,73,24.75,115000.0,33,11.19,0,88.57
2024-03-24,505,218,119,23.56,90000.0,56,11.09,0,133.71
2024-03-25,282,143,77,27.3,137500.0,27,9.57,0,173.0
2024-03-26,22,18,11,50.0,162800.0,3,13.64,0,174.14
2024-03-27,30,22,9,30.0,163450.0,3,10.0,0,177.0
2024-03-28,32,22,15,46.88,80950.0,6,18.75,0,171.0
2024-03-29,5,3,3,60.0,77500.0,3,60.0,0,167.29
2024-03-30,2,2,1,50.0,100000.0,0,0.0,0,125.43
2024-03-31,91,24,11,12.09,97500.0,11,12.09,0,66.29
2024-04-01,54,31,25,46.3,155000.0,6,11.11,0,33.71
2024-04-02,53,34,25,47.17,124500.0,10,18.87,0,38.14
2024-04-03,149,52,44,29.53,126955.0,12,8.05,0,55.14
2024-04-04,1989,430,499,25.09,71000.0,127,6.39,0,334.71
2024-04-05,8586,2950,2520,29.35,77500.0,941,10.96,0,1560.57
2024-04-06,2320,764,347,14.96,70000.0,390,16.81,0,1891.71
2024-04-07,1262,283,262,20.76,85500.0,128,10.14,0,2059.0
2024-04-08,3600,1052,1073,29.81,77500.0,498,13.83,0,2565.57
2024-04-09,5040,1864,1237,24.54,95000.0,782,15.52,0,3278.0
2024-04-10,1975,559,495,25.06,80650.0,140,7.09,0,3538.86
2024-04-11,12082,4708,3493,28.91,82160.0,1441,11.93,0,4980.71
2024-04-12,47,32,13,27.66,147500.0,9,19.15,0,3760.86
2024-04-13,24,11,12,50.0,120000.0,3,12.5,0,3432.86
2024-04-14,1120,301,236,21.07,79362.0,109,9.73,0,3412.57
2024-04-15,7154,3277,2382,33.3,85000.0,965,13.49,0,3920.29
2024-04-16,7699,2830,2136,27.74,84396.0,862,11.2,0,4300.14
2024-04-17,16739,4952,4512,26.96,78398.0,1574,9.4,0,6409.29
2024-04-18,32667,10235,10060,30.8,81525.0,4368,13.37,0,9350.0
2024-04-19,19365,6626,5648,29.17,85000.0,2652,13.69,0,12109.71
